"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0x4df29f6624cc0a543a0c5d5c05cbc55486e2d47cdc77a5c7d34c44fafaaa4df3","10878165","1600325478","2020-09-17 06:51:18","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","120,903.529643024301134263","Add_liquidity"
"0xa82eba376e33d98ddee59e350227bcdf6227cad584b1347ad3b0e496cced8647","10878171","1600325498","2020-09-17 06:51:38","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","120,903.529643024301134263","Deposit"
"0xbb5be6802b938e5d1e227dfe4e3ab0a804c85552a49a31c423cf37218c0f9d5c","10878418","1600329254","2020-09-17 07:54:14","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","47,734.592483969391832152","Add_liquidity"
"0x50087953e0856e4755a2a8f6f164ff4f654ed0c5502d8834f5f581aa08b039a4","10878420","1600329339","2020-09-17 07:55:39","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","47,734.592483969391832152","Deposit"
"0xf65140a39ca770db891e4e075339b74d7077b1ed5f573e8dc9d80a1973669684","10879980","1600349543","2020-09-17 13:32:23","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","1,705.746212902151485563","Add_liquidity"
"0x88212d8ef9f075bec1e02f044ef6438714ea1e53e5e8cbc6d172d4d02d93bf0f","10879985","1600349620","2020-09-17 13:33:40","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","1,705.746212902151485563","Deposit"
"0x94350861fab4ee9e23d804841bd32c4f3f556f76f9545d736d678edfccfe4cde","10910943","1600759104","2020-09-22 07:18:24","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","59,684.232869591006499861","Withdraw"
"0xdd5d4963d9e3866a0075dacfbc303ff030252817537b2291b3c1e94185b0fed6","10910943","1600759104","2020-09-22 07:18:24","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x0000000000000000000000000000000000000000","59,684.232869591006499861","Remove_liquidity_one_coin"
"0x11b0846cc518d2b16ca4ed7be8455b7e32785c6b9052a7302b2e5e0197ece9a9","10910970","1600759480","2020-09-22 07:24:40","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","59,663.530637858713447061","Add_liquidity"
"0xe8557fd77c3bc306439c05c03e5d10f39e8718ae804c3c3b4d426b4ae357d987","10910980","1600759634","2020-09-22 07:27:14","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","59,663.53","Deposit"
"0x080b22018bc1a2d8d8699cb00b0ffa7ac56ceeb983e776d7a8d800633c19cb5f","10930420","1601017844","2020-09-25 07:10:44","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","5,456.402175318019141228","Add_liquidity"
"0xb6dc5787cbf8dc5d3c9285f62f5b8dbdaa9ba7b0c2b192a70410de984406ac2c","10930422","1601017898","2020-09-25 07:11:38","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","5,456.402175318019141228","Deposit"
"0xc42d6cf74b7571bad7563c102cc51953a16351287558a750ce9c6c20ac49ea8d","10948616","1601263427","2020-09-28 03:23:47","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","7,045.161197298941981889","Add_liquidity"
"0xaa1296b577cec70a05c9d042f8768debb8d5468f5a556a89b495e65552019f57","10948618","1601263440","2020-09-28 03:24:00","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","7,045.161197298941981889","Deposit"
"0xa26a8b825170242c5d9937758274c96e7b0493e02adc45dbad2bfead27a33457","10955471","1601356539","2020-09-29 05:15:39","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","5,428.921027334631084934","Add_liquidity"
"0xe7e6c7632d8c3ad774dba2f7976c496765360d77082e790e7f586a59db45d7ce","10955473","1601356567","2020-09-29 05:16:07","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","5,428.921027334631084934","Deposit"
"0x5c5fb15512c4813d5ab9f7575059c51d25aa2f7e43d8d8ad26fe1aa01984143e","10961363","1601436134","2020-09-30 03:22:14","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","4,140.032894334458751764","Add_liquidity"
"0xf39a09eafb1385f5c2cb2e4633168e64598343731e3afdd7f1335f67f0a94331","10961365","1601436152","2020-09-30 03:22:32","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","4,140.032894334458751764","Deposit"
"0x34b6b4f9d4fc82ea2d7c932e2510a7e5520449d6414e5863db617d178554be42","10967613","1601520935","2020-10-01 02:55:35","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","4,619.35645369295357124","Add_liquidity"
"0x79089f03684573da885e038558627a05643460145bb8b7e1fd935e85789b780c","10967616","1601520966","2020-10-01 02:56:06","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","4,619.35645369295357124","Deposit"
"0x7a16a08c58bccd1d475eb6f4a3ef47365c838ce2acc983f6f6dcfff9a2e5d0b7","10971370","1601571707","2020-10-01 17:01:47","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","1,076,418.186505157175224867","Add_liquidity"
"0x65c16a9ec647d5dec704a771419e983a58a052061962eaeadde5c77c067ec012","10971373","1601571760","2020-10-01 17:02:40","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","1,076,418.186505157175224867","Deposit"
"0x37ba99a79f2ce8ea005f851f1b09ec4a8854f66d36c173d27e4da69824316034","10978990","1601673926","2020-10-02 21:25:26","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","3,771.987063506633452299","Add_liquidity"
"0x6f7dab58352e260b1606010c41b5dba42438756328dd0ef57ac25ca29442a135","10978993","1601673965","2020-10-02 21:26:05","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","3,771.987063506633452299","Deposit"
"0x29c63c41cb1c6fd5bb2fbe728a7429d035dfd6d567bc16b1b22a2365d2f7c7f7","10993466","1601870269","2020-10-05 03:57:49","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","9,689.505707016317437386","Add_liquidity"
"0xbf7faa1f15788233180f3666ee796ff693b308ec835555974edb7ffd8ea64e32","10993469","1601870292","2020-10-05 03:58:12","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","9,689.505707016317437386","Deposit"
"0x1ace0edd52d8ac76ee8108101e7357ef70f7b402ddc3a4f37680d291c88069f3","11001991","1601984342","2020-10-06 11:39:02","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","1,920,781.268289575530724374","Add_liquidity"
"0xf0cb1cca63f969460540282d7cc090f5ffed320cd6f059fb478422ab32c4ca30","11001993","1601984426","2020-10-06 11:40:26","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","1,920,781.268289575530724374","Deposit"
"0x00d6dfcd3d26103649fb0627762f27fba93768768889cdacd126e72f838ec60c","11006165","1602040805","2020-10-07 03:20:05","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","320,767.398104281107829854","Withdraw"
"0xed82cef5355561c27badca6d52a4a3da96540ea623f2a5b0cd137ce9647d78c2","11006166","1602040809","2020-10-07 03:20:09","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x0000000000000000000000000000000000000000","320,767.398742139821276915","Remove_liquidity_one_coin"
"0xdc05c4020c149c852637311aa01557eb6e236d785f3990980dea99694c774eb2","11091207","1603172505","2020-10-20 05:41:45","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","577,381.317735851678298448","Withdraw"
"0x0cffa1565752388ab15e6f9606167c0fa9e69960b43ea3d01fa945d0f3720901","11091207","1603172505","2020-10-20 05:41:45","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x0000000000000000000000000000000000000000","577,381.317735851678298448","Remove_liquidity_one_coin"
"0x018e72a3695c8dd5b573d0e30c8627099c01009eb4a6596c59c59f564fc5ae5d","11092214","1603186500","2020-10-20 09:35:00","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","346,428.790641511006979069","Withdraw"
"0xdae866eda053b15848e25d92211fcf71eb77d9f1fba264c0366085a1361eb289","11092214","1603186500","2020-10-20 09:35:00","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x0000000000000000000000000000000000000000","346,428.790641511006979069","Remove_liquidity_one_coin"
"0x223347171aab55c9565e58f4fbbecd52804604b656d5cd2d80e79134f31cda8a","11112562","1603456696","2020-10-23 12:38:16","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","1,079,703.064166042638418099","Withdraw"
"0x118b47b049f425e6d73fd92ec9ac58f0d830a8d49249c0424946dc97f35aae2b","11112562","1603456696","2020-10-23 12:38:16","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x0000000000000000000000000000000000000000","1,079,703.064166042638418099","Remove_liquidity"
"0x45fd2b25f0a5b4207533925b872947d33c875e6d4e20479729912265d8e276f4","11130378","1603693382","2020-10-26 06:23:02","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","984,411.032566026287426964","Add_liquidity"
"0xf84b32a5b3b5027181096c83ff18a7d31b9bbd7bd7c637e11a39028c621bc2cc","11130383","1603693449","2020-10-26 06:24:09","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","984,411.032566026287426964","Deposit"
"0x53c68d4613be15547570bc00e9911ec8c3a513bcf7ee647e2c86b18413146989","11196148","1604565632","2020-11-05 08:40:32","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","1,102,004.624734108819581919","Withdraw"
"0xe9055d58a02db96f88ea1247300ce07af4be486d1ed6f5b173f5ef291907e71f","11196148","1604565632","2020-11-05 08:40:32","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x0000000000000000000000000000000000000000","1,102,004.624734108819581919","Remove_liquidity_one_coin"
"0xb622e0bd8c07ede45b5cea1bc59defa97f809ec1ffa4e8f206c20e36c5777785","11196175","1604565974","2020-11-05 08:46:14","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","7,657.998239677705356416","Withdraw"
"0x2c1f0d01540d499fd75d6562737fba45290381bf8b2cea854e8c9043f221aa13","11196191","1604566169","2020-11-05 08:49:29","0xbfcf63294ad7105dea65aa58f8ae5be2d9d0952a","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","758,141.825728092830285257","Withdraw"
"0xd5059e9112862b86be586c27cdfd8f6103deb39658a7183da70289d3e6e81769","11196262","1604566991","2020-11-05 09:03:11","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xf8ce90c2710713552fb564869694b2505bfc0846","765,799.823967770535641673","Deposit All"
"0xd4c54d013bbfc26f54d89e6b669373f1d7c02bf86ce98a55a96145f7d319b4a2","11196969","1604576099","2020-11-05 11:34:59","0x71b9ec42bb3cb40f017d8ad8011be8e384a95fa5","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","765,805.602646759321988167","Withdraw"
