"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0xd3f49326f0578c11f933bcab055f0f5e4873d63ddc35349c89471e88dd2b8481","11362840","1606775144","2020-11-30 22:25:44","0xa706a7eb4321b1fd01d05b936d6cf5f392ab5ecc","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","10,609.30770868615774208","Transfer Many"
"0x67e6d99aa290ea7712f77b3729d720d7a4c73590f3697e36adad01b26a5f81bb","11363862","1606788700","2020-12-01 02:11:40","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x094d12e5b541784701fd8d65f11fc0598fbc6332","10,609.30770868615774208","Add_liquidity"
"0x99e42ac121bd860bdd14d853ce93fd26714108d3936045a906a3ef37c1de88a9","11417731","1607504597","2020-12-09 09:03:17","0x094d12e5b541784701fd8d65f11fc0598fbc6332","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","676,522.078533578368486111","Remove_liquidity"
"0x15cf477be16b8113a1f728dbe46f3368846eefbce92272637469cf5480009593","11417739","1607504679","2020-12-09 09:04:39","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x0f9cb53ebe405d49a0bbdbd291a65ff571bc83e1","676,522.078533578368486111","Exchange_underlying"
"0x14dce256ad9b04b0a75e5d866bdbeb6b400ca5ba6099c6ff31fd18d29918bf75","11476632","1608287042","2020-12-18 10:24:02","0x0f9cb53ebe405d49a0bbdbd291a65ff571bc83e1","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","106.890926945001255813","Exchange_underlying"
"0x65e09288357bfcc6904c67aeba0ca70e67ff7919f90590143046b56323305760","11476649","1608287219","2020-12-18 10:26:59","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x5fafca7ab473dd5dd07ef54fb339d726c8f463f0","106.890926945001255813","Transfer"
"0x2ec03d667f1424512ce81fd2e8a7230ac5601bf023e00117812f412fb9d961f7","11541805","1609150220","2020-12-28 10:10:20","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","1,130.229347","Deposit"
"0x3c3474eda01b9bcba399232513162c75c8ba1bccd66ffc6b0f01a15f49517d87","11542107","1609154337","2020-12-28 11:18:57","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x094d12e5b541784701fd8d65f11fc0598fbc6332","1,130.229347","Add_liquidity"
"0xc3a065fd32751e6a70c12fc6894632849e72f4f6cdacf49f8aa4418c3263f050","13512034","1635509937","2021-10-29 12:18:57","0x094d12e5b541784701fd8d65f11fc0598fbc6332","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","10,564.943352305064456466","Remove_liquidity_one_coin"
"0x503475d992d22ebe23ea709b004625f01b06d2f75dd3f4e0eb97d1cba4ba0a4b","13512051","1635510141","2021-10-29 12:22:21","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x349b544272da5282784d1ad6f7d5f75e21a132aa","10,564.9433","Transfer"
"0x89c2b9ed0a88bc5002e755678ce45d475adf12726880971f1a3b652652f87871","13809781","1639572076","2021-12-15 12:41:16","0x0f9cb53ebe405d49a0bbdbd291a65ff571bc83e1","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","44,146.391797953806412859","Exchange_underlying"
